,Name,Arrival,Departure,Duration,Price
0,"SpiceJet
SG 8184","10:40
Delhi","12:50
Mumbai","2h 10m
Non Stop",5953
1,"SpiceJet
SG 507","20:20
Delhi","22:40
Mumbai","2h 20m
Non Stop",5953
2,"SpiceJet
SG 611","18:40
Delhi","20:40
Mumbai","2h 00m
Non Stop",5953
3,"SpiceJet
SG 757","16:20
Delhi","18:30
Mumbai","2h 10m
Non Stop",5953
4,"Indigo
6E 2339","21:55
Delhi","00:05+1D
Mumbai","2h 10m
Non Stop",5953
5,"Indigo
6E 2292","19:05
Delhi","21:05
Mumbai","2h 00m
Non Stop",5953
6,"Indigo
6E 2215","11:00
Delhi","13:05
Mumbai","2h 05m
Non Stop",5953
7,"Indigo
6E 2702","15:35
Delhi","17:50
Mumbai","2h 15m
Non Stop",5953
8,"Indigo
6E 5203","13:10
Delhi","15:15
Mumbai","2h 05m
Non Stop",5953
9,"Indigo
6E 6202","12:00
Delhi","14:05
Mumbai","2h 05m
Non Stop",5953
10,"Indigo
6E 171","10:10
Delhi","12:25
Mumbai","2h 15m
Non Stop",5953
11,"Indigo
6E 2293","17:45
Delhi","20:10
Mumbai","2h 25m
Non Stop",5953
12,"Air Asia
I5 482","19:55
Delhi","22:15
Mumbai","2h 20m
Non Stop",5954
13,"Air Asia
I5 834","08:50
Delhi","11:05
Mumbai","2h 15m
Non Stop",5954
14,"Air Asia
I5 834","08:50
Delhi","11:05
Mumbai","2h 15m
Non Stop",6058
15,"Air Asia
I5 482","19:55
Delhi","22:15
Mumbai","2h 20m
Non Stop",6058
16,"Indigo
6E 2339","21:55
Delhi","00:05+1D
Mumbai","2h 10m
Non Stop",6111
17,"Indigo
6E 2292","19:05
Delhi","21:05
Mumbai","2h 00m
Non Stop",6111
18,"Indigo
6E 2293","17:45
Delhi","20:10
Mumbai","2h 25m
Non Stop",6111
19,"Indigo
6E 2702","15:35
Delhi","17:50
Mumbai","2h 15m
Non Stop",6111
20,"Indigo
6E 2215","11:00
Delhi","13:05
Mumbai","2h 05m
Non Stop",6111
21,"Indigo
6E 6202","12:00
Delhi","14:05
Mumbai","2h 05m
Non Stop",6111
22,"Indigo
6E 171","10:10
Delhi","12:25
Mumbai","2h 15m
Non Stop",6111
23,"Indigo
6E 5203","13:10
Delhi","15:15
Mumbai","2h 05m
Non Stop",6111
24,"Indigo
6E 6125","06:10
Delhi","08:20
Mumbai","2h 10m
Non Stop",6163
25,"Indigo
6E 5071","14:00
Delhi","16:05
Mumbai","2h 05m
Non Stop",6163
26,"Indigo
6E 2186","20:30
Delhi","22:35
Mumbai","2h 05m
Non Stop",6163
27,"Indigo
6E 2186","20:30
Delhi","22:35
Mumbai","2h 05m
Non Stop",6321
28,"Indigo
6E 6125","06:10
Delhi","08:20
Mumbai","2h 10m
Non Stop",6321
29,"Indigo
6E 5071","14:00
Delhi","16:05
Mumbai","2h 05m
Non Stop",6321
30,"Indigo
6E 6387","08:55
Delhi","11:05
Mumbai","2h 10m
Non Stop",6373
31,"Indigo
6E 2576","05:00
Delhi","07:10
Mumbai","2h 10m
Non Stop",6373
32,"Indigo
6E 2576","05:00
Delhi","07:10
Mumbai","2h 10m
Non Stop",6531
33,"Indigo
6E 6387","08:55
Delhi","11:05
Mumbai","2h 10m
Non Stop",6531
34,"SpiceJet
SG 8701","06:50
Delhi","09:05
Mumbai","2h 15m
Non Stop",7108
35,"GO FIRST
G8 530","06:15
Delhi","08:20
Mumbai","2h 05m
Non Stop",5952
36,"GO FIRST
G8 323","18:50
Delhi","20:45
Mumbai","1h 55m
Non Stop",5952
37,"GO FIRST
G8 334","09:05
Delhi","11:05
Mumbai","2h 00m
Non Stop",5952
38,"GO FIRST
G8 336","14:20
Delhi","16:25
Mumbai","2h 05m
Non Stop",5952
39,"GO FIRST
G8 717","15:30
Delhi","21:05
Mumbai","5h 35m
1 Stop",5952
